data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
8830148,508,MZM2596,2596,5-Feb-22,2022,1,Strategic developments,Looting/property destruction,Islamist Militia (Mozambique),,3,Civilians (Mozambique),,7,37,Eastern Africa,Mozambique,Cabo Delgado,Macomia,Macomia,Bangala II,-12.2977,40.1902,1,Cabo Ligado; Twitter; VOA; Amaq; BBC News; Zitamar,Local partner-Other,"Property destruction: On 5 February 2022, a group of Islamist militia set fire to the village Bangala II (Macomia, Cabo Delgado). The villagers had already fled when the militia arrived. The Islamic State claimed three members of Congolese local militia were killed and two vehicles burned on the same day. It is unclear if the content of the claim was confused with an IS-associated attack in the Democratic Republic of Congo.",0,1644874427,MOZ
8830149,508,MZM2597,2597,5-Feb-22,2022,1,Violence against civilians,Attack,Islamist Militia (Mozambique),,3,Civilians (Mozambique),Labour Group (Mozambique),7,37,Eastern Africa,Mozambique,Cabo Delgado,Macomia,Macomia,Nacate,-12.1621,39.8395,2,Zitamar; BBC News; Carta de Mocambique; Lusa; Cabo Ligado,Local partner-Other,"On 5 February 2022, a group of Islamist militia ambushed two trucks along the N380 road north of Nacate (Macomia, Cabo Delgado). Both trucks were burnt and one driver killed. The other driver is missing. The trucks were carrying construction material for rebuilding bridges over the Messalo River in the district of Muidumbe.",1,1644874427,MOZ
8830150,508,MZM2598,2598,5-Feb-22,2022,1,Violence against civilians,Attack,Islamist Militia (Mozambique),,3,Civilians (Mozambique),Women (Mozambique),7,37,Eastern Africa,Mozambique,Cabo Delgado,Macomia,Macomia,Macomia,-12.2467,40.1208,2,VOA; Zitamar; Cabo Ligado; BBC News; Carta de Mocambique,Local partner-Other,"On 5 February 2022, a group of Islamist militia attacked the village Rafique near Macomia (Macomia, Cabo Delgado). One man was beheaded and at least 10 women and girls were kidnapped. Kidnappings were also reported in Machova, near Nacate, presumably referring to the same incident. [women targeted: girls]",1,1644874427,MOZ
8830151,508,MZM2599,2599,5-Feb-22,2022,1,Violence against civilians,Attack,Islamist Militia (Mozambique),,3,Civilians (Mozambique),Labour Group (Mozambique),7,37,Eastern Africa,Mozambique,Cabo Delgado,Macomia,Macomia,Nacate,-12.1621,39.8395,2,Carta de Mocambique; VOA; Zitamar; Cabo Ligado; BBC News,Local partner-Other,"On 5 February 2022, a group of Islamist militia ambushed a civilian hunting group and killed four hunters near Nacate (Macomia, Cabo Delgado). One person escaped the ambush and said that Islamist militia tied them up and seized their meat.",4,1644874427,MOZ
8830153,508,MZM2603,2603,5-Feb-22,2022,1,Battles,Armed clash,Islamist Militia (Mozambique),,3,SAMIM: SADC Mission in Mozambique,Military Forces of Mozambique (1990-); Military Forces of Rwanda (1994-),8,38,Eastern Africa,Mozambique,Cabo Delgado,Macomia,Chai,Nova Zambezia,-12.0763,40.1087,1,Twitter; Cabo Ligado,Local partner-Other,"On 5 February 2022, members of an Islamist militia ambushed a patrol of SAMIM, Mozambican and Rwandan forces in Nova Zambezia (Macomia, Cabo Delgado). Five Islamist militia and one Mozambican soldier were killed.",6,1644874427,MOZ
8830229,508,MZM2601,2601,5-Feb-22,2022,1,Strategic developments,Looting/property destruction,Islamist Militia (Mozambique),,3,Civilians (Mozambique),,7,37,Eastern Africa,Mozambique,Cabo Delgado,Macomia,Macomia,Nacate,-12.1621,39.8395,1,Cabo Ligado,Local partner-Other,"Property destruction: On 5 February 2022, a group of Islamist militia set fire to Nacate (Macomia, Cabo Delgado). No casualties reported.",0,1644874427,MOZ
8830283,231,ETH8045,8045,5-Feb-22,2022,1,Battles,Armed clash,TPLF: Tigray People's Liberation Front,,3,Police Forces of Ethiopia (2018-) Afar Special Forces,Afar Ethnic Militia (Ethiopia),1,13,Eastern Africa,Ethiopia,Afar,Kilbati-Zone 2,Berahile,Berahle,13.8617,40.0216,1,ESAT,International,"On 5 February 2022, TPLF forces clashed with Afar regional special force and Afar militias in Berahle (Berahile, Kilbati-Zone 2, Afar) and Konneba (coded separately). TPLF forces attacked the area using heavy weapons. Causalities unknown.",0,1644874428,ETH
8830287,231,ETH8046,8046,5-Feb-22,2022,1,Battles,Armed clash,TPLF: Tigray People's Liberation Front,,3,Police Forces of Ethiopia (2018-) Afar Special Forces,Afar Ethnic Militia (Ethiopia),1,13,Eastern Africa,Ethiopia,Afar,Kilbati-Zone 2,Kunneba,Konneba,14.0914,39.9251,1,ESAT,International,"On 5 February 2022, TPLF forces clashed with Afar regional special force and Afar militias Konneba (Kunneba, Kilbati-Zone 2, Afar) and Berhale (coded separately) areas. TPLF forces attacked the area using heavy weapons. Causalities unknown.",0,1644874428,ETH
8830332,404,KEN8125,8125,5-Feb-22,2022,1,Violence against civilians,Attack,Police Forces of Kenya (2013-),,1,Civilians (Kenya),,7,17,Eastern Africa,Kenya,Mombasa,Nyali,Mkomani,Nyali,-4.0525,39.6954,1,Opera News (Kenya),National,"On 5 February 2022, a police officer was engaged in a scuffle with a motorist in Nyali (Nyali , Mombasa county). The motorist strangled the officer to death. The incident allegedly happened following a scuffle after the slain officer stopped the motorist, asking for his driving licence.",1,1644874428,KEN
8830339,231,ETH8047,8047,5-Feb-22,2022,1,Battles,Armed clash,OLF: Oromo Liberation Front (Shane Splinter Faction),,2,Military Forces of Ethiopia (2018-),,1,12,Eastern Africa,Ethiopia,Oromia,Guji,Wadera,Kontema,5.7821,39.3076,2,Oromiya Media Network,International,"On 5 February 2022, OLF rebel militants ambushed an ENDF military patrol in Sokora Harte (location coded to Kontema) in Wadera woreda (Guji, Oromia), resulting in 6 fatalities.",6,1644874428,ETH
